year,Temperature,Scenario
2031,6.345670475880638,RCP2.6
2032,6.128809617389948,RCP2.6
2033,6.369036787794926,RCP2.6
2034,6.34065019861642,RCP2.6
2035,6.2847770604848465,RCP2.6
2036,6.256650661762516,RCP2.6
2037,6.10350118428471,RCP2.6
2038,6.089006400651631,RCP2.6
2039,6.516273034332964,RCP2.6
2040,6.449561735211584,RCP2.6
2041,6.635388681649563,RCP2.6
2042,6.167498596152313,RCP2.6
2043,6.483134145638928,RCP2.6
2044,6.424517986737214,RCP2.6
2045,6.315536075139751,RCP2.6
2046,6.501543204206996,RCP2.6
2047,6.282788685895525,RCP2.6
2048,6.370647967195471,RCP2.6
2049,6.3722025979698556,RCP2.6
2050,6.361325138038978,RCP2.6
2051,6.4842022978933755,RCP2.6
2052,6.937591875849004,RCP2.6
2053,6.805912306361544,RCP2.6
2054,6.464050934518089,RCP2.6
2055,6.668871868735512,RCP2.6
2056,6.74115981711077,RCP2.6
2057,6.698551050022577,RCP2.6
2058,7.099712335527897,RCP2.6
2059,6.66308176473251,RCP2.6
2060,6.770328445266955,RCP2.6
2061,6.520759576916096,RCP2.6
2062,6.741389601747528,RCP2.6
2063,6.807557191839464,RCP2.6
2064,6.956691426597558,RCP2.6
2065,6.996141981744851,RCP2.6
2066,6.937921531172492,RCP2.6
2067,6.897699968447,RCP2.6
2068,6.932257058510269,RCP2.6
2069,7.028376092109852,RCP2.6
2070,6.9633632376247006,RCP2.6
2071,7.005330917526369,RCP2.6
2072,6.99998692328423,RCP2.6
2073,6.8155002397485305,RCP2.6
2074,7.032429630076535,RCP2.6
2075,6.920228954156262,RCP2.6
2076,6.995793368729475,RCP2.6
2077,7.162266018590913,RCP2.6
2078,6.964499025240873,RCP2.6
2079,7.044127785585222,RCP2.6
2080,6.853537156037078,RCP2.6
2081,7.169362892575275,RCP2.6
2082,7.195986372286787,RCP2.6
2083,7.1446880204060035,RCP2.6
2084,7.0067219749947,RCP2.6
2085,7.114475617596592,RCP2.6
2086,6.994897915228914,RCP2.6
2087,6.671605068476272,RCP2.6
2088,6.701952586633486,RCP2.6
2089,6.917776182550028,RCP2.6
2090,6.866596684620428,RCP2.6
2091,6.963236620750611,RCP2.6
2092,6.870481266158966,RCP2.6
2093,7.0327394517216435,RCP2.6
2094,7.078282177005917,RCP2.6
2095,7.053140468802326,RCP2.6
2096,7.189224728833286,RCP2.6
2097,7.0010754062328715,RCP2.6
2098,7.147610423100825,RCP2.6
2099,7.040361354306053,RCP2.6
2100,6.925572305475384,RCP2.6
2015,5.653273170526783,RCP4.5
2016,5.60843987214226,RCP4.5
2017,5.447726942078854,RCP4.5
2018,5.773798272463826,RCP4.5
2019,5.8031803577750525,RCP4.5
2020,6.020907698183653,RCP4.5
2021,5.882661345632148,RCP4.5
2022,5.8517426334864995,RCP4.5
2023,5.962608409370318,RCP4.5
2024,6.226103642396652,RCP4.5
2025,6.2878092121721165,RCP4.5
2026,5.920267659961269,RCP4.5
2027,5.956091861845948,RCP4.5
2028,5.907525561035944,RCP4.5
2029,6.043911816381562,RCP4.5
2030,5.85917731295342,RCP4.5
2031,6.124675316642993,RCP4.5
2032,6.469056462077447,RCP4.5
2033,6.2692696065875,RCP4.5
2034,6.12760053946018,RCP4.5
2035,6.027235990064241,RCP4.5
2036,6.20434349831972,RCP4.5
2037,6.144085318959962,RCP4.5
2038,6.175197092063438,RCP4.5
2039,6.303760907985293,RCP4.5
2040,6.234638851935377,RCP4.5
2041,6.14324579460083,RCP4.5
2042,6.574495783176606,RCP4.5
2043,6.482872540348542,RCP4.5
2044,6.823416352799806,RCP4.5
2045,6.722881670986946,RCP4.5
2046,6.596468538340825,RCP4.5
2047,6.739011865908613,RCP4.5
2048,6.722975875390716,RCP4.5
2049,6.87669578061131,RCP4.5
2050,6.884989034058549,RCP4.5
2051,6.688180488751603,RCP4.5
2052,6.995660255608793,RCP4.5
2053,7.216277382359863,RCP4.5
2054,7.0012190002637835,RCP4.5
2055,6.969978711280684,RCP4.5
2056,6.936301319495176,RCP4.5
2057,7.096175427028622,RCP4.5
2058,6.786224907287419,RCP4.5
2059,6.997883601409096,RCP4.5
2060,7.04329356751407,RCP4.5
2061,7.106932156781379,RCP4.5
2062,6.971254220643725,RCP4.5
2063,7.334602900144357,RCP4.5
2064,7.428890309863125,RCP4.5
2065,7.605040132906311,RCP4.5
2066,7.34381094084434,RCP4.5
2067,7.4448922708242735,RCP4.5
2068,7.287185481695171,RCP4.5
2069,7.603091331842999,RCP4.5
2070,7.5554184167258045,RCP4.5
2071,7.762598222494148,RCP4.5
2072,7.5260799303107815,RCP4.5
2073,7.31970359872408,RCP4.5
2074,7.442810516090465,RCP4.5
2075,7.73450964028018,RCP4.5
2076,7.6925320144742955,RCP4.5
2077,7.66657306031171,RCP4.5
2078,8.04716712650069,RCP4.5
2079,7.831524825445399,RCP4.5
2080,7.985057767659138,RCP4.5
2081,7.596618393304159,RCP4.5
2082,7.72860994851995,RCP4.5
2083,7.647690305160381,RCP4.5
2084,8.216753709347321,RCP4.5
2085,8.168457710556709,RCP4.5
2086,8.114590816805162,RCP4.5
2087,7.892213037959323,RCP4.5
2088,8.11775148600187,RCP4.5
2089,8.327443163593633,RCP4.5
2090,8.37049260050992,RCP4.5
2091,8.334429930414407,RCP4.5
2092,8.408425574097805,RCP4.5
2093,8.163657307027242,RCP4.5
2094,8.380700566596374,RCP4.5
2095,8.431606256891996,RCP4.5
2096,8.384350988105894,RCP4.5
2097,8.161148991614292,RCP4.5
2098,8.660905091503347,RCP4.5
2099,8.5710060063905,RCP4.5
2100,8.28602598551663,RCP4.5
2015,5.653134437417634,RCP8.5
2016,5.833336852941064,RCP8.5
2017,5.452209085715026,RCP8.5
2018,5.464962635755872,RCP8.5
2019,5.630278336179155,RCP8.5
2020,5.808095038658962,RCP8.5
2021,6.006703927127357,RCP8.5
2022,5.920755461580143,RCP8.5
2023,5.967020887904823,RCP8.5
2024,6.3387174280205345,RCP8.5
2025,6.2480687037886655,RCP8.5
2026,6.290504149921882,RCP8.5
2027,6.367422182640705,RCP8.5
2028,5.9573788943079835,RCP8.5
2029,5.765669723103467,RCP8.5
2030,5.928012465382949,RCP8.5
2031,6.249918962929731,RCP8.5
2032,6.604976167071944,RCP8.5
2033,6.653142937831603,RCP8.5
2034,6.523427809340281,RCP8.5
2035,6.270185892454681,RCP8.5
2036,6.406368614741003,RCP8.5
2037,6.490798367133077,RCP8.5
2038,6.490374950521338,RCP8.5
2039,6.646961411950201,RCP8.5
2040,6.781269605023188,RCP8.5
2041,6.519478373796081,RCP8.5
2042,6.75375939915735,RCP8.5
2043,6.994575811107666,RCP8.5
2044,6.639702272391901,RCP8.5
2045,6.769139691861369,RCP8.5
2046,7.12839446840034,RCP8.5
2047,7.034109749078463,RCP8.5
2048,7.349583103383604,RCP8.5
2049,7.193237264663935,RCP8.5
2050,7.262963778983514,RCP8.5
2051,7.243954327368821,RCP8.5
2052,7.702435211379414,RCP8.5
2053,7.387934541391853,RCP8.5
2054,7.419474948647765,RCP8.5
2055,7.866294653799097,RCP8.5
2056,7.634343738031286,RCP8.5
2057,7.58997316140839,RCP8.5
2058,7.866339434077986,RCP8.5
2059,8.219984718932173,RCP8.5
2060,8.193206408705274,RCP8.5
2061,8.232129401046185,RCP8.5
2062,8.254951123132704,RCP8.5
2063,8.159550366480858,RCP8.5
2064,8.43387043734549,RCP8.5
2065,8.470275815095155,RCP8.5
2066,8.752105785518287,RCP8.5
2067,8.851730979769513,RCP8.5
2068,8.809974204616955,RCP8.5
2069,8.684787587053165,RCP8.5
2070,8.93759528588661,RCP8.5
2071,8.920687208596329,RCP8.5
2072,9.182201690723522,RCP8.5
2073,9.473278058134042,RCP8.5
2074,9.40988129822074,RCP8.5
2075,9.57022995965868,RCP8.5
2076,9.586974504931542,RCP8.5
2077,9.910101682126234,RCP8.5
2078,9.965938205892863,RCP8.5
2079,9.865054143654826,RCP8.5
2080,9.809939848360008,RCP8.5
2081,9.965055208986959,RCP8.5
2082,9.961362227587983,RCP8.5
2083,10.33967871690792,RCP8.5
2084,10.387047969410219,RCP8.5
2085,10.647897261101775,RCP8.5
2086,10.689078755700052,RCP8.5
2087,10.698552344211711,RCP8.5
2088,10.855838755983882,RCP8.5
2089,11.09892724293752,RCP8.5
2090,10.828170184612608,RCP8.5
2091,11.200892232536981,RCP8.5
2092,11.255247783754044,RCP8.5
2093,11.35993194334056,RCP8.5
2094,11.500764734678304,RCP8.5
2095,11.724807130817036,RCP8.5
2096,12.11001966694217,RCP8.5
2097,12.306115611130394,RCP8.5
2098,12.263026664289669,RCP8.5
2099,12.403656738872352,RCP8.5
2100,12.212836891785287,RCP8.5
